index	name	abbreviation
1	L_Olfactory_areas	L_OLF
2	R_Olfactory_areas	R_OLF
3	L_Gustatory_areas	L_GU
4	R_Gustatory_areas	R_GU
5	L_Frontal_pole_cerebral_cortex	L_FRP
6	R_Frontal_pole_cerebral_cortex	R_FRP
7	L_Ectorhinal_area	L_ECT
8	R_Ectorhinal_area	R_ECT
9	L_Retrosplenial_area	L_RSP
10	R_Retrosplenial_area	R_RSP
11	L_Somatosensory_areas	L_SS
12	R_Somatosensory_areas	R_SS
13	L_Infralimbic_area	L_ILA
14	R_Infralimbic_area	R_ILA
15	L_Anterior_cingulate_area	L_ACA
16	R_Anterior_cingulate_area	R_ACA
17	L_Somatomotor_areas	L_MO
18	R_Somatomotor_areas	R_MO
19	L_Agranular_insular_area	L_AI
20	R_Agranular_insular_area	R_AI
21	L_Orbital_area	L_ORB
22	R_Orbital_area	R_ORB
23	L_Auditory_areas	L_AUD
24	R_Auditory_areas	R_AUD
25	L_Visceral_area	L_VISC
26	R_Visceral_area	R_VISC
27	L_Perirhinal_area	L_PERI
28	R_Perirhinal_area	R_PERI
29	L_Temporal_association_areas	L_TEa
30	R_Temporal_association_areas	R_TEa
31	L_Posterior_parietal_association_areas	L_PTLp
32	R_Posterior_parietal_association_areas	R_PTLp
33	L_Prelimbic_area	L_PL
34	R_Prelimbic_area	R_PL
35	L_Visual_areas	L_VIS
36	R_Visual_areas	R_VIS
37	L_Dentate_gyrus	L_DG
38	R_Dentate_gyrus	R_DG
39	L_Ammon's_horn	L_CA
40	R_Ammon's_horn	R_CA
41	L_Parasubiculum	L_PAR
42	R_Parasubiculum	R_PAR
43	L_Presubiculum	L_PRE
44	R_Presubiculum	R_PRE
45	L_Postsubiculum	L_POST
46	R_Postsubiculum	R_POST
47	L_Prosubiculum	L_ProS
48	R_Prosubiculum	R_ProS
49	L_Subiculum	L_SUB
50	R_Subiculum	R_SUB
51	L_Entorhinal_area	L_ENT
52	R_Entorhinal_area	R_ENT
53	L_Amygdala	L_AMY
54	R_Amygdala	R_AMY
55	L_Striatum_ventral_region	L_STRv
56	R_Striatum_ventral_region	R_STRv
57	L_Striatum_dorsal_region	L_STRd
58	R_Striatum_dorsal_region	R_STRd
59	L_Lateral_septal_complex	L_LSX
60	R_Lateral_septal_complex	R_LSX
61	L_Pallidum	L_PAL
62	R_Pallidum	R_PAL
63	L_Thalamus_polymodal_association_cortex_related	L_DORpm
64	R_Thalamus_polymodal_association_cortex_related	R_DORpm
65	L_Thalamus_sensory-motor_cortex_related	L_DORsm
66	R_Thalamus_sensory-motor_cortex_related	R_DORsm
67	L_Hypothalamus	L_HY
68	R_Hypothalamus	R_HY
69	L_Midbrain_sensory_related	L_MBsen
70	R_Midbrain_sensory_related	R_MBsen
71	L_Midbrain_behavioral_state_related	L_MBsta
72	R_Midbrain_behavioral_state_related	R_MBsta
73	L_Midbrain_motor_related	L_MBmot
74	R_Midbrain_motor_related	R_MBmot
75	L_Hindbrain	L_HB
76	R_Hindbrain	R_HB
77	L_Hemispheric_regions	L_HEM
78	R_Hemispheric_regions	R_HEM
79	L_Cerebellar_nuclei	L_CBN
80	R_Cerebellar_nuclei	R_CBN
81	L_Vermal_regions	L_VERM
82	R_Vermal_regions	R_VERM
