index	name	abbreviation
1	Frontal Pole (Right Hemisphere)	FRP_RH
2	Frontal Pole (Left Hemisphere)	FRP_LH
3	Primary Motor Cortex (Right Hemisphere)	MOp_RH
4	Primary Motor Cortex (Left Hemisphere)	MOp_LH
5	Secondary Motor Cortex (Right Hemisphere)	MOs_RH
6	Secondary Motor Cortex (Left Hemisphere)	MOs_LH
7	Primary Somatosensory Area - Nose (Right Hemisphere)	SSp-n_RH
8	Primary Somatosensory Area - Nose (Left Hemisphere)	SSp-n_LH
9	Primary Somatosensory Area - Barrel Field (Right Hemisphere)	SSp-bfd_RH
10	Primary Somatosensory Area - Barrel Field (Left Hemisphere)	SSp-bfd_LH
11	Primary Somatosensory Area - Lower Limb (Right Hemisphere)	SSp-ll_RH
12	Primary Somatosensory Area - Lower Limb (Left Hemisphere)	SSp-ll_LH
13	Primary Somatosensory Area - Mouth (Right Hemisphere)	SSp-m_RH
14	Primary Somatosensory Area - Mouth (Left Hemisphere)	SSp-m_LH
15	Primary Somatosensory Area - Upper Limb (Right Hemisphere)	SSp-ul_RH
16	Primary Somatosensory Area - Upper Limb (Left Hemisphere)	SSp-ul_LH
17	Primary Somatosensory Area - Trunk (Right Hemisphere)	SSp-tr_RH
18	Primary Somatosensory Area - Trunk (Left Hemisphere)	SSp-tr_LH
19	Primary Somatosensory Area - Unassigned (Right Hemisphere)	SSp-un_RH
20	Primary Somatosensory Area - Unassigned (Left Hemisphere)	SSp-un_LH
21	Supplemental Somatosensory Area (Right Hemisphere)	SSs_RH
22	Supplemental Somatosensory Area (Left Hemisphere)	SSs_LH
23	Gustatory Area (Right Hemisphere)	GU_RH
24	Gustatory Area (Left Hemisphere)	GU_LH
25	Visceral Area (Right Hemisphere)	VISC_RH
26	Visceral Area (Left Hemisphere)	VISC_LH
27	Auditory Dorsal Area (Right Hemisphere)	AUDd_RH
28	Auditory Dorsal Area (Left Hemisphere)	AUDd_LH
29	Auditory Posterior Area (Right Hemisphere)	AUDp_RH
30	Auditory Posterior Area (Left Hemisphere)	AUDp_LH
31	Auditory Posteromedial Area (Right Hemisphere)	AUDpo_RH
32	Auditory Posteromedial Area (Left Hemisphere)	AUDpo_LH
33	Auditory Ventral Area (Right Hemisphere)	AUDv_RH
