index	name	abbreviation	color
106	Supplemental somatosensory area, layer 6b	SSs6b	1A8061
107	Gustatory areas	GU	019B75
108	Gustatory areas, layer 1	GU1	009C75
109	Gustatory areas, layer 2/3	GU2/3	009B75
110	Gustatory areas, layer 4	GU4	009C74
111	Gustatory areas, layer 5	GU5	019C75
112	Gustatory areas, layer 6a	GU6a	009B74
113	Gustatory areas, layer 6b	GU6b	019C74
114	Visceral area	VISC	11AD83
115	Visceral area, layer 1	VISC1	12AD83
116	Visceral area, layer 2/3	VISC2/3	12AC83
117	Visceral area, layer 4	VISC4	11AC82
118	Visceral area, layer 5	VISC5	12AD82
119	Visceral area, layer 6a	VISC6a	11AC83
120	Visceral area, layer 6b	VISC6b	11AD82
121	Auditory areas	AUD	019299
122	Dorsal auditory area	AUDd	049399
123	Dorsal auditory area, layer 1	AUDd1	039399
124	Dorsal auditory area, layer 2/3	AUDd2/3	029397
125	Dorsal auditory area, layer 4	AUDd4	039398
126	Dorsal auditory area, layer 5	AUDd5	029398
127	Dorsal auditory area, layer 6a	AUDd6a	019399
128	Dorsal auditory area, layer 6b	AUDd6b	019398
129	Laterolateral anterior visual area	VISlla	029099
130	Laterolateral anterior visual area, layer 1	VISlla1	029299
131	Laterolateral anterior visual area, layer 2/3	VISlla2/3	049398
132	Laterolateral anterior visual area, layer 4	VISlla4	049299
133	Laterolateral anterior visual area,layer 5	VISlla5	029296
134	Laterolateral anterior visual area, layer 6a	VISlla6a	019199
135	Laterolateral anterior visual area, layer 6b	VISlla6b	019297
136	Primary auditory area	AUDp	039297
137	Primary auditory area, layer 1	AUDp1	029297
138	Primary auditory area, layer 2/3	AUDp2/3	019298
139	Primary auditory area, layer 4	AUDp4	039397
140	Primary auditory area, layer 5	AUDp5	039199
141	Primary auditory area, layer 6a	AUDp6a	019396
142	Primary auditory area, layer 6b	AUDp6b	039198
143	Posterior auditory area	AUDpo	029396
144	Posterior auditory area, layer 1	AUDpo1	039299
145	Posterior auditory area, layer 2/3	AUDpo2/3	029199
146	Posterior auditory area, layer 4	AUDpo4	039298
147	Posterior auditory area, layer 5	AUDpo5	019197
148	Posterior auditory area, layer 6a	AUDpo6a	029399
149	Posterior auditory area, layer 6b	AUDpo6b	029298
150	Ventral auditory area	AUDv	019296
