name	abbreviation	index
L_Lingula (I)	L_LING	595
R_Lingula (I)	R_LING	596
L_Central lobule	L_CENT	597
R_Central lobule	R_CENT	598
L_Culmen	L_CUL	599
R_Culmen	R_CUL	600
L_Declive (VI)	L_DEC	601
R_Declive (VI)	R_DEC	602
L_Folium-tuber vermis (VII)	L_FOTU	603
R_Folium-tuber vermis (VII)	R_FOTU	604
L_Pyramus (VIII)	L_PYR	605
R_Pyramus (VIII)	R_PYR	606
L_Uvula (IX)	L_UVU	607
R_Uvula (IX)	R_UVU	608
L_Nodulus (X)	L_NOD	609
R_Nodulus (X)	R_NOD	610
L_Simple lobule	L_SIM	611
R_Simple lobule	R_SIM	612
L_Ansiform lobule	L_AN	613
R_Ansiform lobule	R_AN	614
L_Paramedian lobule	L_PRM	615
R_Paramedian lobule	R_PRM	616
L_Copula pyramidis	L_COPY	617
R_Copula pyramidis	R_COPY	618
L_Paraflocculus	L_PFL	619
R_Paraflocculus	R_PFL	620
L_Flocculus	L_FL	621
R_Flocculus	R_FL	622
L_Fastigial nucleus	L_FN	623
R_Fastigial nucleus	R_FN	624
L_Interposed nucleus	L_IP	625
R_Interposed nucleus	R_IP	626
L_Dentate nucleus	L_DN	627
R_Dentate nucleus	R_DN	628
L_Vestibulocerebellar nucleus	L_VeCB	629
R_Vestibulocerebellar nucleus	R_VeCB	630
L_fiber tracts	L_fiber tracts	631
R_fiber tracts	R_fiber tracts	632
