index	name	color
562	Primary somatosensory area, unassigned, layer 6a Right	ff8000
571	Primary somatosensory area, unassigned, layer 6b Left	ff8200
572	Primary somatosensory area, unassigned, layer 6b Right	ff8200
581	Supplemental somatosensory area, layer 1 Left	ff8400
582	Supplemental somatosensory area, layer 1 Right	ff8400
591	Supplemental somatosensory area, layer 2/3 Left	ff8700
592	Supplemental somatosensory area, layer 2/3 Right	ff8700
601	Supplemental somatosensory area, layer 4 Left	ff8900
602	Supplemental somatosensory area, layer 4 Right	ff8900
611	Supplemental somatosensory area, layer 5 Left	ff8b00
612	Supplemental somatosensory area, layer 5 Right	ff8b00
621	Supplemental somatosensory area, layer 6a Left	ff8e00
622	Supplemental somatosensory area, layer 6a Right	ff8e00
631	Supplemental somatosensory area, layer 6b Left	ff9000
632	Supplemental somatosensory area, layer 6b Right	ff9000
641	Gustatory areas, layer 1 Left	ff9200
642	Gustatory areas, layer 1 Right	ff9200
651	Gustatory areas, layer 2/3 Left	ff9500
652	Gustatory areas, layer 2/3 Right	ff9500
661	Gustatory areas, layer 4 Left	ff9700
662	Gustatory areas, layer 4 Right	ff9700
671	Gustatory areas, layer 5 Left	ff9900
672	Gustatory areas, layer 5 Right	ff9900
681	Gustatory areas, layer 6a Left	ff9c00
682	Gustatory areas, layer 6a Right	ff9c00
691	Gustatory areas, layer 6b Left	ff9e00
692	Gustatory areas, layer 6b Right	ff9e00
701	Visceral area, layer 1 Left	ffa000
702	Visceral area, layer 1 Right	ffa000
711	Visceral area, layer 2/3 Left	ffa300
712	Visceral area, layer 2/3 Right	ffa300
721	Visceral area, layer 4 Left	ffa500
722	Visceral area, layer 4 Right	ffa500
731	Visceral area, layer 5 Left	ffa700
732	Visceral area, layer 5 Right	ffa700
741	Visceral area, layer 6a Left	ffa900
742	Visceral area, layer 6a Right	ffa900
751	Visceral area, layer 6b Left	ffac00
752	Visceral area, layer 6b Right	ffac00
761	Dorsal auditory area, layer 1 Left	ffae00
762	Dorsal auditory area, layer 1 Right	ffae00
771	Dorsal auditory area, layer 2/3 Left	ffb000
772	Dorsal auditory area, layer 2/3 Right	ffb000
781	Dorsal auditory area, layer 4 Left	ffb300
782	Dorsal auditory area, layer 4 Right	ffb300
791	Dorsal auditory area, layer 5 Left	ffb500
792	Dorsal auditory area, layer 5 Right	ffb500
801	Dorsal auditory area, layer 6a Left	ffb700
802	Dorsal auditory area, layer 6a Right	ffb700
811	Dorsal auditory area, layer 6b Left	ffba00
812	Dorsal auditory area, layer 6b Right	ffba00
821	Primary auditory area, layer 1 Left	ffbc00
822	Primary auditory area, layer 1 Right	ffbc00
831	Primary auditory area, layer 2/3 Left	ffbe00
832	Primary auditory area, layer 2/3 Right	ffbe00
841	Primary auditory area, layer 4 Left	ffc100
842	Primary auditory area, layer 4 Right	ffc100
851	Primary auditory area, layer 5 Left	ffc300
852	Primary auditory area, layer 5 Right	ffc300
861	Primary auditory area, layer 6a Left	ffc500
862	Primary auditory area, layer 6a Right	ffc500
871	Primary auditory area, layer 6b Left	ffc800
872	Primary auditory area, layer 6b Right	ffc800
881	Posterior auditory area, layer 1 Left	ffca00
882	Posterior auditory area, layer 1 Right	ffca00
891	Posterior auditory area, layer 2/3 Left	ffcc00
892	Posterior auditory area, layer 2/3 Right	ffcc00
901	Posterior auditory area, layer 4 Left	ffcf00
902	Posterior auditory area, layer 4 Right	ffcf00
911	Posterior auditory area, layer 5 Left	ffd100
912	Posterior auditory area, layer 5 Right	ffd100
921	Posterior auditory area, layer 6a Left	ffd300
922	Posterior auditory area, layer 6a Right	ffd300
931	Posterior auditory area, layer 6b Left	ffd600
932	Posterior auditory area, layer 6b Right	ffd600
941	Ventral auditory area, layer 1 Left	ffd800
942	Ventral auditory area, layer 1 Right	ffd800
951	Ventral auditory area, layer 2/3 Left	ffda00
952	Ventral auditory area, layer 2/3 Right	ffda00
961	Ventral auditory area, layer 4 Left	ffdd00
962	Ventral auditory area, layer 4 Right	ffdd00
971	Ventral auditory area, layer 5 Left	ffdf00
972	Ventral auditory area, layer 5 Right	ffdf00
981	Ventral auditory area, layer 6a Left	ffe100
982	Ventral auditory area, layer 6a Right	ffe100
991	Ventral auditory area, layer 6b Left	ffe400
992	Ventral auditory area, layer 6b Right	ffe400
1001	Anterolateral visual area, layer 1 Left	ffe600
1002	Anterolateral visual area, layer 1 Right	ffe600
1011	Anterolateral visual area, layer 2/3 Left	ffe800
1012	Anterolateral visual area, layer 2/3 Right	ffe800
1021	Anterolateral visual area, layer 4 Left	ffea00
1022	Anterolateral visual area, layer 4 Right	ffea00
1031	Anterolateral visual area, layer 5 Left	ffed00
1032	Anterolateral visual area, layer 5 Right	ffed00
1041	Anterolateral visual area, layer 6a Left	ffef00
1042	Anterolateral visual area, layer 6a Right	ffef00
1051	Anterolateral visual area, layer 6b Left	fff100
1052	Anterolateral visual area, layer 6b Right	fff100
1061	Anteromedial visual area, layer 1 Left	fff400
1062	Anteromedial visual area, layer 1 Right	fff400
1071	Anteromedial visual area, layer 2/3 Left	fff600
1072	Anteromedial visual area, layer 2/3 Right	fff600
1081	Anteromedial visual area, layer 4 Left	fff800
1082	Anteromedial visual area, layer 4 Right	fff800
1091	Anteromedial visual area, layer 5 Left	fffb00
1092	Anteromedial visual area, layer 5 Right	fffb00
1101	Anteromedial visual area, layer 6a Left	fffd00
1102	Anteromedial visual area, layer 6a Right	fffd00
1111	Anteromedial visual area, layer 6b Left	ffff00
1112	Anteromedial visual area, layer 6b Right	ffff00
1121	Lateral visual area, layer 1 Left	fcff00
1122	Lateral visual area, layer 1 Right	fcff00
1131	Lateral visual area, layer 2/3 Left	faff00
1132	Lateral visual area, layer 2/3 Right	faff00
1141	Lateral visual area, layer 4 Left	f8ff00
1142	Lateral visual area, layer 4 Right	f8ff00
1151	Lateral visual area, layer 5 Left	f5ff00
1152	Lateral visual area, layer 5 Right	f5ff00
1161	Lateral visual area, layer 6a Left	f3ff00
1162	Lateral visual area, layer 6a Right	f3ff00
1171	Lateral visual area, layer 6b Left	f1ff00
1172	Lateral visual area, layer 6b Right	f1ff00
1181	Primary visual area, layer 1 Left	eeff00
1182	Primary visual area, layer 1 Right	eeff00
1191	Primary visual area, layer 2/3 Left	ecff00
1192	Primary visual area, layer 2/3 Right	ecff00
1201	Primary visual area, layer 4 Left	eaff00
1202	Primary visual area, layer 4 Right	eaff00
1211	Primary visual area, layer 5 Left	e7ff00
1212	Primary visual area, layer 5 Right	e7ff00
1221	Primary visual area, layer 6a Left	e5ff00
1222	Primary visual area, layer 6a Right	e5ff00
1231	Primary visual area, layer 6b Left	e3ff00
